skills
"['internet of things', 'engineering', 'automation', 'electrical engineering', 'google', 'program', 'cloud computing', 'monitoring', 'collaboration', 'support', 'training', 'firebase']"
"['devops', 'sql', 'nodejs', 'python', 'analytics', 'oop', 'tableau', 'excel', 'machine learning', 'library', 'web service', 'r', 'tensorflow', 'data visualization', 'visualization', 'serverless', 'data science']"
"['multimedia', 'multidisciplinary', 'analytical skills', 'schedule', 'google', 'support', 'marketing', 'medium', 'material', 'communication']"
"['deployment', 'databases', 'fabric', 'software development', 'code review', 'programming language', 'support', 'documentation', 'testing', 'code quality']"
"['helpdesk', 'engineering', 'database', 'teknologi', 'css', 'html', 'excel', 'support', 'javascript', 'php', 'critical thinking', 'local area network', 'blockchain']"
"['interpersonal skill', 'analytics', 'google', 'content creation', 'cloud computing', 'training', 'medium', 'content management', 'data science']"
"['banking', 'interaction', 'medium', 'infrastructure', 'css', 'adaptability', 'commerce', 'jira', 'google', 'trello', 'marketing', 'computer science', 'blockchain', 'component', 'communication', 'teknologi', 'user flow', 'html', 'library', 'testing', 'project management']"
"['ui ux design', 'ui/ux design', 'multidisciplinary', 'adaptability', 'miro', 'google analytics', 'user interface', 'ai', 'collaboration', 'medium', 'wireframing', 'testing', 'communication']"
"['engineering', 'algorithm', 'database', 'algorithm design', 'program', 'software development', 'web service', 'communication', 'software engineering', 'data structure']"
"['sql', 'artificial intelligence', 'python', 'ai', 'professional', 'medium', 'ui/ux design', 'multimedia', 'engineering', 'image processing', 'google', 'software quality assurance', 'artificial neural network', 'java', 'fuzzy logic', 'automation', 'program', 'excel', 'data analysis', 'deployment', 'machine learning', 'tensorflow']"
"['engineering', 'commerce', 'ios', 'banking', 'user flow', 'documentation', 'interaction', 'ui/ux design', 'lottie', 'use case']"
"['sql', 'artificial intelligence', 'python', 'algorithm', 'ai', 'professional', 'big data', 'teamwork', 'postman', 'google', 'framework', 'computer science', 'laravel', 'communication skills', 'critical thinking', 'database', 'excel', 'data analysis', 'communication', 'mysql', 'html', 'frontend', 'programming language', 'machine learning', 'tensorflow', 'data visualization']"
"['laravel', 'java', 'engineering', 'component', 'google', 'bootstrap', 'flutter', 'html', 'professional', 'cloud computing', 'cs', 'collaboration', 'javascript', 'microsoft office', 'google cloud platform', 'computer science', 'teamwork', 'firebase']"
"['economics', 'interpersonal', 'program', 'marketing', 'communication']"
"['adobe photoshop', 'environmental engineering', 'commerce', 'jira', 'google', 'framer', 'program', 'interaction', 'collaboration', 'ui/ux design', 'roadmap', 'material']"
"['engineering', 'web development', 'scanner', 'aws', 'network topology', 'php', 'seo', 'javascript', 'support', 'operating system', 'computer science', 'content management', 'network security', 'postman', 'firewall']"
"['engineering', 'artificial intelligence', 'android', 'teknologi', 'ai', 'professional', 'mobile app development']"
"['web design', 'advertising', 'database', 'user flow', 'diagram', 'user interface', 'software development', 'medium', 'ui/ux design', 'framework', 'material', 'software engineering']"
"['program', 'schedule', 'medium', 'critical thinking']"
"['python', 'communications', 'monitoring', 'dynamic time warping', 'medium', 'google', 'material', 'inference', 'excel', 'program', 'data analysis', 'keras', 'data science', 'multivariate analysis', 'languages', 'computation', 'machine learning', 'programming language', 'time series', 'r', 'tensorflow']"
"['mysql', 'copywriting', 'java', 'web design', 'rest api', 'bootstrap', 'program', 'php', 'wordpress', 'javascript', 'software engineering', 'laravel', 'materialize', 'css']"
"['engineering', 'analytics', 'schedule', 'excel', 'testing', 'teamwork', 'visio']"
"['monitoring', 'finance', 'training']"
"['java', 'git', 'user flow', 'frontend', 'testing']"
"['multimedia', 'flutter', 'program', 'software development', 'gcp', 'training', 'google cloud platform', 'teamwork']"
"['copywriting', 'engineering', 'schedule', 'communication skill', 'professional', 'work independently', 'medium', 'framework', 'codeigniter']"
"['engineering', 'testing', 'component', 'user flow', 'google', 'framer', 'workflow', 'library', 'marketing', 'interaction', 'ui/ux design', 'framework', 'computer science', 'provider', 'training', 'wireframing']"
"['net', 'hive', 'adobe photoshop', 'user interface']"
"['ui/ux design', 'python', 'teknologi', 'tableau', 'program', 'machine learning', 'r', 'deep learning', 'tensorflow', 'figma', 'data science']"
